shop_id,brand,branch_name,address,emirate,lat,lon,geo_confidence,segment,format
tt_khaleej_al_arabi,Tips & Toes,Khaleej Al Arabi,"Villa 816, Al Khaleej Al Arabi St, Al Bateen",Abu Dhabi,24.45138,54.33797,medium,women,mid_salon
tt_khalifa_city,Tips & Toes,Khalifa City,"Street 12, Southwest 11, Khalifa City A",Abu Dhabi,24.42013,54.57495,medium,women,mid_salon
tt_makani,Tips & Toes,Makani,"Makani Zakher Shopping Center, Nimah",Abu Dhabi,24.13501,55.68543,medium,women,mid_salon
tt_marina_mall_auh,Tips & Toes,Marina Mall AUH,"W Corniche Rd, Al Kasir, Al Marina",Abu Dhabi,24.47604,54.32143,high,women,mid_salon
tt_marina_vista,Tips & Toes,Marina Vista,"Unit R01, Marina Vista Tower 2, Emaar Beachfront",Dubai,25.0968,55.13985,medium,women,mid_salon
tt_me_aisem_city_centre,Tips & Toes,Me'aisem City Centre,"City Centre Meaisem, Dubai Production City",Dubai,25.04034,55.19694,high,women,mid_salon
tt_meadows_mall,Tips & Toes,Meadows Mall,"Meadows 4, Emirates Hills",Dubai,25.06714,55.15679,medium,women,mid_salon
tt_mira_town_centre,Tips & Toes,Mira Town Centre,Mira Town Centre,Dubai,25.00949,55.30579,medium,women,mid_salon
tt_mohammed_bin_zayed_city,Tips & Toes,Mohammed Bin Zayed City,"Villa 143, Mohamed Bin Zayed City Z6",Abu Dhabi,24.33396,54.55356,medium,women,mid_salon
tt_nation_towers,Tips & Toes,Nation Towers,"Nation Towers, 1st Street Al Bateen",Abu Dhabi,24.46446,54.327,high,women,mid_salon
tt_park_point,Tips & Toes,Park Point,"Dubai Hills Estate, Park Point",Dubai,25.1214,55.26434,medium,women,mid_salon
tt_port_de_la_mer,Tips & Toes,Port De La Mer,"La Cote B2, Port De La Mer, Jumeirah 1",Dubai,25.23833,55.25279,high,women,mid_salon
tt_reem_mall,Tips & Toes,Reem Mall,"Spinneys entrance, Basement level 1, Reem Mall",Abu Dhabi,24.48842,54.40058,high,women,mid_salon
tt_saadiyat_island,Tips & Toes,Saadiyat Island,Saadiyat Island,Abu Dhabi,24.54597,54.44369,low,women,mid_salon
tt_shamkha_mall,Tips & Toes,Shamkha Mall,"Makani Mall, Al Shamkhah",Abu Dhabi,24.38691,54.7226,high,women,mid_salon
tt_the_dubai_mall,Tips & Toes,The Dubai Mall,"The Dubai Mall Level 1, Fashion Avenue",Dubai,25.19704,55.27895,high,women,mid_salon
