shop_id,brand,branch_name,address,emirate,lat,lon,geo_confidence,segment,format,geocode_shift_km,comp_1km,comp_2km,comp_3km,catchment_km2,catchment_source,cannibalisation,cross_segment_overlap,worst_overlap_with,worst_overlap_brand,worst_overlap_km,n_group_shops_2km
tt_al_dhannah_mall,Tips & Toes,Al Dhannah Mall,"Al Dhannah Mall, Al Ruwais",Abu Dhabi,24.0755,52.67199,high,women,mid_salon,,0,0,0,3.04,isochrone_6min,0.0,0.0,,,,0
tt_al_falah_1,Tips & Toes,Al Falah 1,"Block A Al Manarah St, Al Falah",Abu Dhabi,24.43711,54.71182,medium,women,mid_salon,,0,0,1,6.26,isochrone_6min,0.1637,0.0,bd_al_falah,Bedashing,2.89,2
tt_al_falah_5,Tips & Toes,Al Falah 5,"Al Falah Drive St, Village Center 5",Abu Dhabi,24.43711,54.71182,low,women,mid_salon,,0,0,1,6.26,isochrone_6min,0.1637,0.0,bd_al_falah,Bedashing,2.89,2
tt_al_furjan_pavilion,Tips & Toes,Al Furjan Pavilion,"Pavilion, Jebel Ali Village, Al Furjan",Dubai,25.03047,55.15223,medium,women,mid_salon,,2,9,11,9.63,isochrone_6min,0.0,0.0,,,,2
tt_al_furjan_west,Tips & Toes,Al Furjan West,Al Furjan Pavilion West,Dubai,25.03047,55.15223,low,women,mid_salon,,2,9,11,9.63,isochrone_6min,0.0,0.0,,,,2
tt_al_hamra_mall,Tips & Toes,Al Hamra Mall,"Sheikh Mohammed Bin Salem Rd, Al Hamra Village",Ras Al Khaimah,25.683,55.78169,high,women,mid_salon,,0,1,1,7.47,isochrone_6min,0.0,0.0,,,,0
tt_al_shamkhah_villa,Tips & Toes,Al Shamkhah Villa,"367 Sector, Al Ayid St, Al Shamkhah",Abu Dhabi,24.37831,54.70437,medium,women,mid_salon,,0,0,0,8.18,isochrone_6min,0.2153,0.0,tt_shamkha_mall,Tips & Toes,2.08,0
tt_arabian_ranches,Tips & Toes,Arabian Ranches,"E311, Arabian Ranches",Dubai,25.05357,55.27548,medium,women,mid_salon,,1,1,4,1.82,isochrone_6min,0.0,0.0,,,,0
tt_arjan,Tips & Toes,Arjan,"Al Faris Building, Arjan, Al Barsha South",Dubai,25.06033,55.23549,medium,women,mid_salon,,9,19,31,2.56,isochrone_6min,0.0,0.0,,,,0
tt_business_bay,Tips & Toes,Business Bay,"Garden Side Bay Avenue, Business Bay",Dubai,25.19008,55.26719,high,women,mid_salon,,6,13,38,3.77,isochrone_6min,0.2859,0.0,tt_the_dubai_mall,Tips & Toes,1.41,2
tt_city_centre_mirdif,Tips & Toes,City Centre Mirdif,City Centre Mirdif,Dubai,25.21602,55.40807,high,women,mid_salon,,0,3,14,6.26,isochrone_6min,0.103,0.8528,bd_mirdif_35,Bedashing,3.09,1
